LID,RGI_ID,L_NUM,LON,LAT,AREA,LENGTH,MATCH
187.0,RGI60-11.02351,286.0,9.77,46.27,2.37,3.8,1.0
188.0,RGI60-02.04151,58.0,-116.27,51.38,3.5,4.2,2.0
189.0,RGI60-11.00110,288.0,12.37,47.13,4.35,4.6,2.0
190.0,RGI60-11.00469,289.0,11.8,47.0,4.08,2.4,1.0
191.0,RGI60-02.00648,59.0,-122.78,50.15,2.6,3.0,2.0
192.0,RGI60-02.14017,60.0,-123.7,47.87,4.69,3.5,2.0
193.0,RGI60-11.00300,290.0,13.0,47.03,1.09,4.1,2.0
194.0,RGI60-13.17829,372.0,70.67,39.52,38.7,28.5,2.0
195.0,RGI60-11.00190,291.0,12.38,47.08,5.47,4.9,1.0
196.0,RGI60-11.02630,292.0,7.63,46.07,16.24,8.6,1.0
197.0,RGI60-13.12873,373.0,72.83,39.1,40.0,21.0,1.0
198.0,RGI60-17.04876,393.0,-73.53,-50.92,178.04,29.47,1.0
200.0,RGI60-17.00456,394.0,-73.61,-50.82,123.34,17.74,1.0
201.0,RGI60-17.15903,396.0,-73.69,-47.05,169.0,32.73,1.0
202.0,RGI60-17.05738,397.0,-73.57,-48.68,710.28,54.87,1.0
206.0,RGI60-17.04882,399.0,-73.29,-50.7,105.93,15.26,1.0
221.0,RGI60-17.15859,403.0,-73.43,-47.17,333.0,39.8,1.0
224.0,RGI60-17.05426,409.0,-73.91,-48.89,73.93,45.86,2.0
225.0,RGI60-17.04871,410.0,-73.34,-50.86,274.86,34.22,1.0
226.0,RGI60-17.15809,412.0,-73.52,-46.59,141.0,31.94,1.0
229.0,RGI60-17.15899,414.0,-73.73,-47.15,184.0,26.16,1.0
230.0,RGI60-17.15898,415.0,-73.69,-47.24,274.0,44.47,1.0
232.0,RGI60-17.04971,416.0,-73.65,-49.84,114.55,13.87,1.0
234.0,RGI60-17.04896,417.0,-73.46,-50.5,86.66,17.26,1.0
235.0,RGI60-17.04863,418.0,-73.61,-51.03,44.31,15.64,1.0
236.0,RGI60-17.06074,420.0,-73.52,-48.46,402.99,47.61,1.0
237.0,RGI60-17.15840,425.0,-73.26,-46.8,73.0,12.86,1.0
241.0,RGI60-17.15854,427.0,-73.32,-46.98,130.0,32.76,1.0
243.0,RGI60-17.05470,430.0,-73.76,-48.83,448.16,56.21,1.0
244.0,RGI60-17.05962,435.0,-73.68,-48.5,107.46,26.39,1.0
245.0,RGI60-17.05184,429.0,-73.36,-48.92,785.4,54.47,1.0
247.0,RGI60-17.15877,436.0,-73.35,-47.37,84.0,26.12,1.0
250.0,RGI60-17.15888,439.0,-73.43,-47.45,13.0,9.24,1.0
253.0,RGI60-17.15804,440.0,-73.62,-46.9,795.0,68.19,1.0
